idx,prompt,model,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd,reasoning_tokens
12,P1_zero_shot,gpt5,matched,"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",A book was written about Tommy O'Connor. ,slate,contradiction,neutral,neutral,83,458,541,0.01915,448.0
13,P1_zero_shot,gpt5,matched,"And here, current history adds a major point.",Current history doesn't add any points to it.,slate,contradiction,contradiction,contradiction,56,76,132,0.0036,64.0
14,P1_zero_shot,gpt5,matched,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,The FDA found an association between the ESB to the EST.,government,contradiction,neutral,neutral,80,330,410,0.014,320.0
15,P1_zero_shot,gpt5,matched,"The pope, suggesting that Gen.",Gen is not being suggested in any way.,slate,contradiction,contradiction,contradiction,53,268,321,0.01125,256.0
16,P1_zero_shot,gpt5,matched,"This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.",This site is a special portal for people who wish to make anonymous complaints about auditors.,government,contradiction,neutral,neutral,84,202,286,0.00892,192.0
17,P1_zero_shot,gpt5,matched,"This is the island's main city and financial, governmental, and administrative centre, and its charms match those of other Mediterranean  jewels.  ",The city is the island's governmental and financial centre. ,travel,entailment,entailment,entailment,77,76,153,0.00381,64.0
18,P1_zero_shot,gpt5,matched,"I don't know what I would have done without Legal Services, said James. ",James said Legal Services was of no help.,government,contradiction,contradiction,contradiction,62,140,202,0.00622,128.0
19,P1_zero_shot,gpt5,matched,"Maps of hiking trails are available at the Government Publications Ceter, Low Block, Government Offices, 66 Queensway in Central.",Hiking trail maps can be obtained at the Government Publications Center.,travel,entailment,entailment,entailment,75,140,215,0.00635,128.0
20,P1_zero_shot,gpt5,matched,"Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded.","Chennai is a laid-back, quiet, and peaceful city.",travel,entailment,neutral,neutral,72,586,658,0.0241599999999999,576.0
21,P1_zero_shot,gpt5,matched,was it bad,Was it not good?,telephone,entailment,neutral,neutral,46,970,1016,0.03926,960.0
22,P1_zero_shot,gpt5,matched,Egg cattle merry wedged marvelous,The cattle were merry.,fiction,entailment,neutral,neutral,49,138,187,0.00601,128.0
23,P1_zero_shot,gpt5,matched,That's the second time you've made that sort of remark.,That's the second time you've made that sort of remark and I don't need anymore reminders.,fiction,neutral,neutral,neutral,65,138,203,0.00617,128.0
24,P1_zero_shot,gpt5,matched,"Restored in 1967, the beautiful exterior is complemented by the fine period furniture housed inside.",The restorations done to the structure is very promising.,travel,neutral,neutral,neutral,68,394,462,0.01644,384.0
25,P1_zero_shot,gpt5,matched,Each of them was as tough as a thick tree and loyal to the death.,None of them were loyal to anything.,fiction,contradiction,contradiction,contradiction,61,140,201,0.00621,128.0
26,P1_zero_shot,gpt5,matched,he was he's of course uh i guess he's trained in this uh martial arts of some sort but the plot was bland the acting was bland It was just mostly centered upon his abilities to,The plot was boring because he was a bad actor.  ,telephone,neutral,neutral,neutral,86,330,416,0.01406,320.0
27,P1_zero_shot,gpt5,matched,Nowadays it is bordered by ancient columns and lined with expensive shops.,The shops have only been around for the last fifty years.,travel,neutral,neutral,neutral,62,138,200,0.00614,128.0
28,P1_zero_shot,gpt5,matched,"The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.",The WP runs a piece inside reporting ,slate,entailment,entailment,entailment,84,524,608,0.0218,512.0
29,P1_zero_shot,gpt5,matched,yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we're required to go attend a uh a counseling session,Even if they say its more positive than what it seems we will have to go to a counseling session. ,telephone,entailment,entailment,entailment,90,588,678,0.02442,576.0
30,P1_zero_shot,gpt5,matched,She had thrown away her cloak and tied her hair back into a topknot to keep it out of the way.,She shaved her head.,fiction,contradiction,contradiction,contradiction,66,76,142,0.0037,64.0
31,P1_zero_shot,gpt5,matched,"I'm not sentimental, you know."" She paused.",She claimed not to be sentimental. ,fiction,entailment,entailment,entailment,55,204,259,0.00871,192.0
32,P1_zero_shot,gpt5,matched,The best beach in Europe ' at least that's the verdict of its regulars.,Regular beachgoers say that it is the best in Europe.,travel,entailment,entailment,entailment,66,204,270,0.00882,192.0
33,P1_zero_shot,gpt5,matched,"To check this, the central bank has tripled interest rates and used hard currency reserves (now reduced to $10 billion in ready cash) to buy back rubles.",The bank doubled interest rates as a way of checking this.,slate,contradiction,contradiction,contradiction,83,140,223,0.00643,128.0
34,P1_zero_shot,gpt5,matched,Don't miss the open-air market close by the wharves.,The open-air market near the wharves can't be missed.,travel,entailment,neutral,neutral,63,522,585,0.0215099999999999,512.0
35,P1_zero_shot,gpt5,matched,'I see.',I saw it.,fiction,entailment,neutral,neutral,45,138,183,0.00597,128.0
36,P1_zero_shot,gpt5,matched,"My last afternoon in Louisian was supposed to be no different- but the hotel room was small and claustrophobic, and I was utterly bored.",My last day in Louisian was very exciting.,fiction,contradiction,neutral,neutral,77,586,663,0.02421,576.0
37,P1_zero_shot,gpt5,matched,and the wind started blowing and it was one of my earlier trips to be really out in the middle of,I was glad that the wind was calm.,telephone,contradiction,contradiction,contradiction,68,204,272,0.00884,192.0
38,P1_zero_shot,gpt5,matched,"We shouldn't have been here as soon as this even, if it hadn't been for the fact that there was a smart doctor on the spot, who gave us the tip through the Coroner. ",The doctor could only help us through the Coroner.,fiction,neutral,neutral,neutral,87,394,481,0.01663,384.0
39,P1_zero_shot,gpt5,matched,Drinks are available and expensive.,Drinks cost a lot.,travel,entailment,entailment,entailment,48,140,188,0.00608,128.0
40,P1_zero_shot,gpt5,matched,I was to watch for an advertisement in the Times.,I was anticipating an ad in the newspaper. ,fiction,entailment,entailment,entailment,58,524,582,0.02154,512.0
41,P1_zero_shot,gpt5,matched,"They said that the current system reflects that diversity, with agencies developing new participation processes and information management systems as needed for their individual programs and communities.",They said that the old system reflects that diversity,government,contradiction,neutral,neutral,76,138,214,0.00628,128.0
42,P1_zero_shot,gpt5,matched,"Sixty percent of Americans are frustrated and angry with the health-care system, and 70 percent favor federal intervention.",Most Americans want to see major changes in the health-care system.,slate,entailment,neutral,neutral,73,650,723,0.02673,640.0
43,P1_zero_shot,gpt5,matched,"The Saving Mystery, or Where Did the Money Go?",The money was spent.,government,neutral,neutral,neutral,53,266,319,0.01117,256.0
44,P1_zero_shot,gpt5,matched,yeah okay you go ahead,"No, do not go ahead.",telephone,contradiction,contradiction,contradiction,50,12,62,0.00098,0.0
45,P1_zero_shot,gpt5,matched,so i really i really don't have heart burn at all with doing it myself over four nights tie i tied the car up if four days but we're fortunate we didn't need it,I think I should do it from now on to deal with my heartburn issues.,telephone,neutral,contradiction,contradiction,89,396,485,0.01673,384.0
46,P1_zero_shot,gpt5,matched,well that's right because uh one day it'll be eighty and the next day it'll be about thirty below i tell you what and uh,"Eventually the temperature will reach eighty and then thirty below zero, it fluctuates.",telephone,entailment,entailment,entailment,79,460,539,0.01919,448.0
47,P1_zero_shot,gpt5,matched,i think we have too thank you very much you too bye-bye,I don't think we can thank you enough for your help.,telephone,neutral,neutral,neutral,64,266,330,0.01128,256.0
48,P1_zero_shot,gpt5,matched,"The cane plantations, increasingly in the hands of American tycoons, found a ready market in the US.",The US market was not ready for the cane plantations.,travel,contradiction,contradiction,contradiction,70,76,146,0.00374,64.0
49,P1_zero_shot,gpt5,matched,"There is a good restaurant in the village, in addition to a well-stocked mini-market for self-catering visitors.",The village has a restaurant.,travel,entailment,entailment,entailment,67,76,143,0.00371,64.0
50,P1_zero_shot,gpt5,matched,but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head,It might take a long time to do that because getting inside a person's head takes time.,telephone,neutral,neutral,neutral,102,266,368,0.01166,256.0
51,P1_zero_shot,gpt5,matched,"A conventional siege was useless against such a seemingly impregnable rock, however, and with so much food and water the Zealots could not be starved into submission.","Eventually, the besieging soldiers had to give up and go home.",travel,neutral,neutral,neutral,86,266,352,0.0115,256.0
52,P1_zero_shot,gpt5,matched,i've even heard of some people being sexually abused,Some people are sexually abused.,telephone,entailment,neutral,neutral,53,394,447,0.01629,384.0
53,P1_zero_shot,gpt5,matched,Duke William returned from his conquest of England to attend the consecration of Notre-Dame in 1067.,Duke William failed to attend the consecration of Notre-Dame.,travel,contradiction,contradiction,contradiction,72,76,148,0.00376,64.0
54,P1_zero_shot,gpt5,matched,Diets for men in their prime,A plan to keep men fat.,fiction,contradiction,neutral,neutral,52,202,254,0.0086,192.0
55,P1_zero_shot,gpt5,matched,so you know it's something we we have tried to help but yeah,We did what we could to help.,telephone,entailment,neutral,neutral,59,394,453,0.01635,384.0
56,P1_zero_shot,gpt5,matched,"Be of good cheer,","Be of good cheer, for beer time is near.",slate,neutral,neutral,neutral,53,202,255,0.00861,192.0
57,P1_zero_shot,gpt5,matched,well what is it,Don't tell me about it.,telephone,contradiction,contradiction,contradiction,48,524,572,0.02144,512.0
58,P1_zero_shot,gpt5,matched,"Indeed, said San'doro.","Indeed, they said.",fiction,entailment,neutral,neutral,49,522,571,0.02137,512.0
59,P1_zero_shot,gpt5,matched,and so i have really enjoyed that but but there are i do have friends that watch programs like they want to see a particular program and they are either home watching it or definitely recording it they have some programs that they won't miss,What programs do your friends like to watch?,telephone,neutral,neutral,neutral,92,394,486,0.01668,384.0
60,P1_zero_shot,gpt5,matched,"Prior to 1986, the United States had been a net creditor because its holdings of foreign assets exceeded foreign holdings of U.S. assets.","For many, this was considered the best position the US had ever been in financially.",government,neutral,neutral,neutral,83,138,221,0.00635,128.0
61,P1_zero_shot,gpt5,matched,they take the football serious,Football is important to them.,telephone,entailment,entailment,entailment,49,76,125,0.00353,64.0
62,P1_zero_shot,gpt5,matched,"The book is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with equal pomposity.",The book has quotes from various people including Lincoln and Jefferson.,slate,entailment,entailment,entailment,76,140,216,0.00636,128.0
63,P1_zero_shot,gpt5,matched,"Part of the reason for the difference in pieces per possible delivery may be due to the fact that five percent of possible residential deliveries are businesses, and it is thought, but not known, that a lesser percentage of possible deliveries on rural routes are businesses.","We all know that the reason for a lesser percentage of possible deliveries on rural routes being businesses, is because of the fact that people prefer living in cities rather than rural areas.",government,neutral,neutral,neutral,122,330,452,0.01442,320.0
64,P1_zero_shot,gpt5,matched,"Most recently, GAO reviewed activities of the White House China Trade Relations Working Group, which was established at the request of President Clinton in the exercise of his Constitutional powers.",President Clinton wasn't exercising his Constitutional powers when he made the request.,government,contradiction,contradiction,contradiction,84,76,160,0.00388,64.0
65,P1_zero_shot,gpt5,matched,CHAPTER 6: HUMAN CAPITAL,Human capital includes the workforce.,government,neutral,neutral,neutral,51,138,189,0.00603,128.0
66,P1_zero_shot,gpt5,matched,"It is the official solution, Liq. ",This is officially the solution.,fiction,entailment,entailment,entailment,53,396,449,0.01637,384.0
67,P1_zero_shot,gpt5,matched,"This is an excerpt from the voice-over credo read in the opening credits for the new UPN series Star  Pitiful Helpless Giant , starring former Secretary of State George Shultz.",Star Pitiful Helpless Giant is a show on UPN about politics.,slate,neutral,neutral,neutral,89,202,291,0.00897,192.0
68,P1_zero_shot,gpt5,matched,"Also, I will be assuming that the 6.0a cost of the Postal Service to take the mail from basic to workshared condition is constant as limited quantities of mail move back and forth between basic and workshared.",I will make no assumptions about the costs to the postal service.,government,contradiction,contradiction,contradiction,95,204,299,0.00911,192.0
69,P1_zero_shot,gpt5,matched,You'll find galleries in all the major towns and in some of the smaller villages.,The major towns have banned the existence of galleries.,travel,contradiction,contradiction,contradiction,63,76,139,0.00367,64.0
70,P1_zero_shot,gpt5,matched,"Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.",Changes were made to the Grant Renewal Application to provide extra information to the LSC.,government,entailment,entailment,entailment,80,460,540,0.0192,448.0
71,P1_zero_shot,gpt5,matched,um-hum what is your worst then,Then what is your worst?,telephone,entailment,entailment,entailment,52,204,256,0.00868,192.0
72,P1_zero_shot,gpt5,matched,Slate 's Joseph Nocera.,Nocera works for Slate.,slate,entailment,entailment,entailment,52,460,512,0.01892,448.0
73,P1_zero_shot,gpt5,matched,That's an opportunity that very few people have had.,Pretty much everyone has that opportunity. ,government,contradiction,contradiction,contradiction,55,12,67,0.00103,0.0
74,P1_zero_shot,gpt5,matched,Cybernetics had always been Derry's passion.,Derry had a passion for cybernetics.,fiction,entailment,entailment,entailment,58,76,134,0.00362,64.0
75,P1_zero_shot,gpt5,matched,"Consistent with GAO's Congressional Protocols, GAO will then offer the requester(s) a draft of the product that is with the agency for comment.",The agency received a draft of the product from the GAO.,government,entailment,entailment,entailment,82,780,862,0.03202,768.0
76,P1_zero_shot,gpt5,matched,"Merrion Square West, Dublin 2.","Merrion Square East, Dublin 2.",travel,contradiction,contradiction,contradiction,55,332,387,0.01383,320.0
77,P1_zero_shot,gpt5,matched,that's neat just supervised more or less than anything and security i guess for them,They just supervise people.,telephone,entailment,neutral,neutral,58,394,452,0.01634,384.0
78,P1_zero_shot,gpt5,matched,"Although this award will now be handed out annually, Bailey was selected for several years of his commitment.","Bailey may have won several times, but it was a humbling experience each time the award was given to him.",government,neutral,neutral,neutral,80,842,922,0.03448,832.0
79,P1_zero_shot,gpt5,matched,um yeah that sounds kind of neat uh is location at all important to you like you know how far it is from your house or whatever,Location doesn't matter to some people but it may matter to you I don't know. ,telephone,neutral,neutral,neutral,82,266,348,0.01146,256.0
80,P1_zero_shot,gpt5,matched,"A chancy road winding up to the 475-metre (1,560-foot) summit is likely to test the engine and suspension of your car, as well as your own persistence.",It is a short and easy trip to get to the summit.,travel,contradiction,contradiction,contradiction,88,140,228,0.00648,128.0
81,P1_zero_shot,gpt5,matched,"This tourist heartland is also home to 100,000 Jamaicans who live in the hills surrounding the town.",Beautiful white beaches are the reason this town is so popular with tourists.,travel,neutral,neutral,neutral,74,138,212,0.00626,128.0
82,P1_zero_shot,gpt5,matched,because we don't always read the newspaper sometimes it just sits around for a while and then we just chuck it,Sometimes we throw the newspaper away without reading it.,telephone,entailment,entailment,entailment,69,76,145,0.00373,64.0
83,P1_zero_shot,gpt5,matched,"In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism.","For almost a decade, the main Republican theme was some form of populism.",slate,entailment,neutral,neutral,87,522,609,0.02175,512.0
84,P1_zero_shot,gpt5,matched,but how do you know  the good from the bad,Why care if it's good or bad?,telephone,contradiction,neutral,neutral,57,330,387,0.01377,320.0
85,P1_zero_shot,gpt5,matched,"A funny place for a piece of brown paper, I mused. ","I looked down at my desk, which was a mess, as usual, and had some white and brown papers on it.",fiction,neutral,neutral,neutral,77,330,407,0.01397,320.0
86,P1_zero_shot,gpt5,matched,"Up here, gazing out at strikingly lush mountains, you may find yourself higher than the clouds, which adds to the extraordinarily eerie atmosphere of the place.","Down here, you can see the gold mines from the old explorers, you are way lower than the sea level, so be careful.",travel,contradiction,neutral,neutral,96,1802,1898,0.07304,1792.0
87,P1_zero_shot,gpt5,matched,"approaches for setting different requirements for sources that pose different levels of hazard (tiering); worst-case releases and other hazard assessment issues; accident information reporting; public participation; inherently safer approaches; and implementation and integration of section 112(r) with state programs, particularly state air permitting programs.",There are no hazards and therefore aren't any different requirements.,government,contradiction,contradiction,contradiction,105,140,245,0.00665,128.0
88,P1_zero_shot,gpt5,matched,The census of 1931 served as an alarm signal for the Malay national consciousness.,The 1931 Malay census was an alarm bell.,travel,entailment,entailment,entailment,65,716,781,0.02929,704.0
89,P1_zero_shot,gpt5,matched,"The NYT , in its front-page coverage, says the plane was flying far lower than the rules for training missions allow.","According to the NYT, training missions did not allow planes to fly that low. ",slate,entailment,entailment,entailment,80,204,284,0.00896,192.0
90,P1_zero_shot,gpt5,matched,Five minutes later she smiled contentedly at her reflection in the glass.,She was looking at her reflection in the rearview mirror of her car.,fiction,neutral,neutral,neutral,66,138,204,0.00618,128.0
91,P1_zero_shot,gpt5,matched,"To address these concerns, we supplement our Base Estimate of benefits with a series of sensitivity calculations that make use of other sources of concentration-response and valuation data for key benefits categories.",Some scenarios allow for supplemental data to be used in lieu of primary data.,government,entailment,neutral,neutral,87,522,609,0.02175,512.0
92,P1_zero_shot,gpt5,matched,right yeah that's it's always handy to have that that credit card for whatever it is that you might need it for,It is not necessary to have a credit card.,telephone,contradiction,neutral,neutral,70,394,464,0.01646,384.0
93,P1_zero_shot,gpt5,matched,"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",There are no palaces in Honolulu that can be toured.,travel,contradiction,contradiction,contradiction,71,76,147,0.00375,64.0
94,P1_zero_shot,gpt5,matched,I knew him and liked and respected him.,I never knew the man.,slate,contradiction,contradiction,contradiction,52,76,128,0.00356,64.0
95,P1_zero_shot,gpt5,matched,The Star reports that actress Jodie Foster is pregnant through artificial insemination.,It has been reported by The Star that Jodie Foster is pregnant with twins through artificial insemination.,slate,neutral,neutral,neutral,74,138,212,0.00626,128.0
96,P1_zero_shot,gpt5,matched,Why bother to sacrifice your lives for dirt farmers and slavers?,People sacrifice their lives for farmers and slaves.,fiction,neutral,neutral,neutral,59,330,389,0.01379,320.0
97,P1_zero_shot,gpt5,matched,"The street ends at Taksim Square (Taksim Meydane), the heart of modern Istanbul, lined with luxurious five-star hotels and the glass-fronted Ataturk Cultural Centre (Ataturk Keleter Sarayy), also called the Opera House.",There are only residential houses on the street.,travel,contradiction,neutral,neutral,100,586,686,0.02444,576.0
98,P1_zero_shot,gpt5,matched,um-hum yeah i saw that for the first time yesterday in the evening,I have seen that many times before.,telephone,contradiction,contradiction,contradiction,61,140,201,0.00621,128.0
99,P1_zero_shot,gpt5,matched,yeah well the jury that originally sentenced him sentenced him to death,The sentence later got revised under review of a judge.,telephone,neutral,neutral,neutral,61,74,135,0.00357,64.0
100,P1_zero_shot,gpt5,matched,I hope that all key parties will take the necessary steps to address any real and perceived problems that serve to undercut public trust and confidence.,I hope that no key parties take steps to address problems.,government,contradiction,contradiction,contradiction,77,268,345,0.01149,256.0
101,P1_zero_shot,gpt5,matched,Programs in Michigan and the District of Columbia received one-year grant terms for 2002.,Programs in Michigan receive no grants at all. ,government,contradiction,contradiction,contradiction,65,76,141,0.00369,64.0
102,P1_zero_shot,gpt5,matched,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities had a railway between them that made travel easy.,travel,contradiction,contradiction,contradiction,67,76,143,0.00371,64.0
103,P1_zero_shot,gpt5,matched,I smiled vaguely.,I moved my face.,fiction,entailment,entailment,entailment,46,204,250,0.00862,192.0
104,P1_zero_shot,gpt5,matched,"Despite a recent renovation, the Meadows Mall is the least appealing of the three suburban malls.",The Meadows Mall is very popular and beautiful.,travel,contradiction,neutral,neutral,64,458,522,0.01896,448.0
105,P1_zero_shot,gpt5,matched,and then you can add cocoa powder to it to make chocolate or after it's thickened i cook it for a good once it starts boiling i just i cook it for a good seven minutes,I never bring it to a boil when I make cocoa.,telephone,contradiction,contradiction,contradiction,87,332,419,0.01415,320.0
106,P1_zero_shot,gpt5,matched,"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Scientists gave animals irradiated chicken and they all died quickly.,slate,contradiction,contradiction,contradiction,76,76,152,0.0038,64.0
107,P1_zero_shot,gpt5,matched,But a list of who's better than other people in some aspect or another is not inevitable and does not make the economy any more prosperous or society any richer in other ways.,A listing of those better than others is very helpful to the economy.,slate,contradiction,contradiction,contradiction,85,204,289,0.00901,192.0
108,P1_zero_shot,gpt5,matched,uh-huh you can't do that in a skirt  poor thing,You need to wear something else.,telephone,entailment,neutral,neutral,58,330,388,0.01378,320.0
109,P1_zero_shot,gpt5,matched,"First, the Comptroller General sends a written request to the agency head for the record that has not been made available to GAO within a reasonable time after an initial request.",They are given a proper amount of time to do the report.,government,entailment,neutral,neutral,85,778,863,0.03197,768.0
110,P1_zero_shot,gpt5,matched,Agricultural shows,Farm performances,travel,entailment,neutral,neutral,43,202,245,0.00851,192.0
111,P1_zero_shot,gpt5,matched,Can you point me to housewares?,"Please point me in the direction of the pet supplies, I asked.",slate,contradiction,contradiction,contradiction,59,588,647,0.02411,576.0
112,P1_zero_shot,gpt5,matched,Intifada to the Present,The extending from the Palestinian uprising until today.,travel,entailment,entailment,entailment,53,396,449,0.01637,384.0
113,P1_zero_shot,gpt5,matched,"THEY ARE READY, returned Susan's voice in the back of his mind.",He cringed when he imagined Susan's voice.,fiction,neutral,neutral,neutral,63,138,201,0.00615,128.0
114,P1_zero_shot,gpt5,matched,yeah well i was surprised at the the way they drafted last year they didn't really didn't go for the uh big offensive lineman or the defensive lineman they're going for the skilled positions so quarterbacks they really,I thought they should focus more on big linemen.,telephone,neutral,neutral,neutral,89,394,483,0.0166499999999999,384.0
115,P1_zero_shot,gpt5,matched,"Small boats tie up here with batches of crayfish, fresh fish, and eel, and housewives clamor for the fishermen to weigh their choices on rudimentary scales.",They fisherman caught 500 pounds of fish today. ,travel,neutral,neutral,neutral,82,74,156,0.00378,64.0
116,P1_zero_shot,gpt5,matched,They post loads of newspaper articles--Yahoo!,Yahoo contains articles from newspaper publications.,slate,entailment,entailment,entailment,53,268,321,0.01125,256.0
117,P1_zero_shot,gpt5,matched,oh i enjoyed it i mean it was just more for my money,The performance was a good deal.,telephone,neutral,neutral,neutral,58,522,580,0.02146,512.0
118,P1_zero_shot,gpt5,matched,"External Validity The extent to which a finding applies (or can be generalized) to persons, objects, settings, or times other than those that were the subject of study.",The degree to which conclusions can be applied to objects and persons who weren't subjects in the initial study subject is called External Validity.,government,entailment,entailment,entailment,98,332,430,0.01426,320.0
119,P1_zero_shot,gpt5,matched,"'Wait here,' I was ordered.",He told me to wait.,fiction,entailment,neutral,neutral,51,586,637,0.02395,576.0
120,P1_zero_shot,gpt5,matched,"It's easy to overdose on the many temples, palaces, and museums in India.",Many temples and palaces are free to visit in the country.,travel,neutral,neutral,neutral,67,74,141,0.00363,64.0
121,P1_zero_shot,gpt5,matched,"Nearby is the Monastery of Nea Moni, founded in 1049, and one of the most beautiful Byzantine religious sites in the Aegean.","Founded in 1049, the monastery was a beacon of light in the darkness.",travel,neutral,neutral,neutral,86,138,224,0.0063799999999999,128.0
122,P1_zero_shot,gpt5,matched,excessively violent i was worried it's like golly if kids start imitating that,"It was non-violent, so it would be great for the kids to follow their lead.",telephone,contradiction,contradiction,contradiction,72,204,276,0.00888,192.0
123,P1_zero_shot,gpt5,matched,Our review indicates that the Food and Drug Administration complied with the applicable requirements.,The Food and Drug Administration has strict requirements.,government,neutral,neutral,neutral,61,74,135,0.00357,64.0
124,P1_zero_shot,gpt5,matched,yeah it's definitely a way out of the way where  where as,I was able to find my way out of the corn maze,telephone,neutral,neutral,neutral,64,74,138,0.0036,64.0
125,P1_zero_shot,gpt5,matched,"Traffic, also, has been controlled, and if you're staying here you might want to consider getting around by bicycle; there's no better way to explore an island that measures no more than 20 km (121.2 miles) from end to end, one-fifth the size of Ibiza.",It is quicker to cross the island by bike than by car.,travel,neutral,neutral,neutral,108,330,438,0.01428,320.0
126,P1_zero_shot,gpt5,matched,Everybody has this quote from NBA commissioner David  You cannot strike your boss and still hold your job--unless you play in the NBA.,"NBA commissioner has given the same quote to everybody, but he also talked about other things.",slate,neutral,neutral,neutral,82,714,796,0.02938,704.0
127,P1_zero_shot,gpt5,matched,The game of billiards is also hot.,People hate playing billiards.,travel,contradiction,neutral,neutral,52,266,318,0.01116,256.0
128,P1_zero_shot,gpt5,matched,"(Never mind the strictest reading, which supposes that creation took a week.)",Which supposes that the creation took a month.,slate,contradiction,contradiction,contradiction,64,268,332,0.01136,256.0
129,P1_zero_shot,gpt5,matched,"Oh, yes, sir. Dorcas was looking very curiously at him and, to tell the truth, so was I. ",We had no interest in him at all.,fiction,contradiction,contradiction,contradiction,73,76,149,0.00377,64.0
130,P1_zero_shot,gpt5,matched,"When the next modernist revolution comes around, he'll be ready.",They have been prepping for years.,slate,neutral,neutral,neutral,57,202,259,0.00865,192.0
131,P1_zero_shot,gpt5,matched,couple of years ago i was thinking about moving to Massachusetts but uh boy i'm glad i didn't,I'm glad that I didn't move to Massachusetts.,telephone,entailment,entailment,entailment,65,140,205,0.00625,128.0
132,P1_zero_shot,gpt5,matched,yeah so it's easy to do i'm actually interested in getting one of those kind of my wife has been talking about this in the past couple of years one of those kind of campers that pop-up so it's about uh maybe eight foot square and but only about two feet tall and when you get to where you're going it raises up and there's tenting material,I want to get one of those campers. ,telephone,entailment,entailment,entailment,117,204,321,0.00933,192.0
133,P1_zero_shot,gpt5,matched,yeah i've always threatened to take lessons but i've never gotten around to it,I have never gotten around to taking lessons.,telephone,entailment,entailment,entailment,61,76,137,0.00365,64.0
134,P1_zero_shot,gpt5,matched,um-hum with the ice yeah,With the sunshine and heat wave yes.,telephone,contradiction,neutral,neutral,53,202,255,0.00861,192.0
