idx,prompt,model,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd
24,P1_zero_shot,llama_3.3_70b,matched,"Restored in 1967, the beautiful exterior is complemented by the fine period furniture housed inside.",The restorations done to the structure is very promising.,travel,neutral,entailment,Entailment.,100.0,5.0,105.0,0.0
25,P1_zero_shot,llama_3.3_70b,matched,Each of them was as tough as a thick tree and loyal to the death.,None of them were loyal to anything.,fiction,contradiction,contradiction,contradiction,91.0,4.0,95.0,0.0
26,P1_zero_shot,llama_3.3_70b,matched,he was he's of course uh i guess he's trained in this uh martial arts of some sort but the plot was bland the acting was bland It was just mostly centered upon his abilities to,The plot was boring because he was a bad actor.  ,telephone,neutral,entailment,entailment,118.0,4.0,122.0,0.0
27,P1_zero_shot,llama_3.3_70b,matched,Nowadays it is bordered by ancient columns and lined with expensive shops.,The shops have only been around for the last fifty years.,travel,neutral,contradiction,contradiction,92.0,4.0,96.0,0.0
28,P1_zero_shot,llama_3.3_70b,matched,"The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.",The WP runs a piece inside reporting ,slate,entailment,entailment,Entailment,113.0,4.0,117.0,0.0
29,P1_zero_shot,llama_3.3_70b,matched,yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we're required to go attend a uh a counseling session,Even if they say its more positive than what it seems we will have to go to a counseling session. ,telephone,entailment,entailment,Entailment,121.0,4.0,125.0,0.0
30,P1_zero_shot,llama_3.3_70b,matched,She had thrown away her cloak and tied her hair back into a topknot to keep it out of the way.,She shaved her head.,fiction,contradiction,contradiction,contradiction,96.0,4.0,100.0,0.0
31,P1_zero_shot,llama_3.3_70b,matched,"I'm not sentimental, you know."" She paused.",She claimed not to be sentimental. ,fiction,entailment,entailment,Entailment,86.0,4.0,90.0,0.0
32,P1_zero_shot,llama_3.3_70b,matched,The best beach in Europe ' at least that's the verdict of its regulars.,Regular beachgoers say that it is the best in Europe.,travel,entailment,entailment,entailment,97.0,4.0,101.0,0.0
33,P1_zero_shot,llama_3.3_70b,matched,"To check this, the central bank has tripled interest rates and used hard currency reserves (now reduced to $10 billion in ready cash) to buy back rubles.",The bank doubled interest rates as a way of checking this.,slate,contradiction,contradiction,contradiction,113.0,4.0,117.0,0.0
34,P1_zero_shot,llama_3.3_70b,matched,Don't miss the open-air market close by the wharves.,The open-air market near the wharves can't be missed.,travel,entailment,entailment,entailment,95.0,4.0,99.0,0.0
35,P1_zero_shot,llama_3.3_70b,matched,'I see.',I saw it.,fiction,entailment,entailment,entailment,75.0,4.0,79.0,0.0
36,P1_zero_shot,llama_3.3_70b,matched,"My last afternoon in Louisian was supposed to be no different- but the hotel room was small and claustrophobic, and I was utterly bored.",My last day in Louisian was very exciting.,fiction,contradiction,contradiction,contradiction,108.0,4.0,112.0,0.0
37,P1_zero_shot,llama_3.3_70b,matched,and the wind started blowing and it was one of my earlier trips to be really out in the middle of,I was glad that the wind was calm.,telephone,contradiction,contradiction,contradiction,98.0,4.0,102.0,0.0
38,P1_zero_shot,llama_3.3_70b,matched,"We shouldn't have been here as soon as this even, if it hadn't been for the fact that there was a smart doctor on the spot, who gave us the tip through the Coroner. ",The doctor could only help us through the Coroner.,fiction,neutral,entailment,entailment,119.0,4.0,123.0,0.0
39,P1_zero_shot,llama_3.3_70b,matched,Drinks are available and expensive.,Drinks cost a lot.,travel,entailment,entailment,Entailment,78.0,4.0,82.0,0.0
40,P1_zero_shot,llama_3.3_70b,matched,I was to watch for an advertisement in the Times.,I was anticipating an ad in the newspaper. ,fiction,entailment,entailment,Entailment,88.0,4.0,92.0,0.0
41,P1_zero_shot,llama_3.3_70b,matched,"They said that the current system reflects that diversity, with agencies developing new participation processes and information management systems as needed for their individual programs and communities.",They said that the old system reflects that diversity,government,contradiction,contradiction,Contradiction,106.0,4.0,110.0,0.0
42,P1_zero_shot,llama_3.3_70b,matched,"Sixty percent of Americans are frustrated and angry with the health-care system, and 70 percent favor federal intervention.",Most Americans want to see major changes in the health-care system.,slate,entailment,entailment,Entailment.,103.0,5.0,108.0,0.0
43,P1_zero_shot,llama_3.3_70b,matched,"The Saving Mystery, or Where Did the Money Go?",The money was spent.,government,neutral,entailment,entailment,83.0,4.0,87.0,0.0
44,P1_zero_shot,llama_3.3_70b,matched,yeah okay you go ahead,"No, do not go ahead.",telephone,contradiction,contradiction,contradiction,80.0,4.0,84.0,0.0
45,P1_zero_shot,llama_3.3_70b,matched,so i really i really don't have heart burn at all with doing it myself over four nights tie i tied the car up if four days but we're fortunate we didn't need it,I think I should do it from now on to deal with my heartburn issues.,telephone,neutral,entailment,entailment,122.0,4.0,126.0,0.0
46,P1_zero_shot,llama_3.3_70b,matched,well that's right because uh one day it'll be eighty and the next day it'll be about thirty below i tell you what and uh,"Eventually the temperature will reach eighty and then thirty below zero, it fluctuates.",telephone,entailment,entailment,Entailment,112.0,4.0,116.0,0.0
47,P1_zero_shot,llama_3.3_70b,matched,i think we have too thank you very much you too bye-bye,I don't think we can thank you enough for your help.,telephone,neutral,contradiction,contradiction,95.0,4.0,99.0,0.0
48,P1_zero_shot,llama_3.3_70b,matched,"The cane plantations, increasingly in the hands of American tycoons, found a ready market in the US.",The US market was not ready for the cane plantations.,travel,contradiction,contradiction,Contradiction.,102.0,5.0,107.0,0.0
49,P1_zero_shot,llama_3.3_70b,matched,"There is a good restaurant in the village, in addition to a well-stocked mini-market for self-catering visitors.",The village has a restaurant.,travel,entailment,entailment,Entailment,98.0,4.0,102.0,0.0
50,P1_zero_shot,llama_3.3_70b,matched,but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head,It might take a long time to do that because getting inside a person's head takes time.,telephone,neutral,entailment,Entailment,134.0,4.0,138.0,0.0
51,P1_zero_shot,llama_3.3_70b,matched,"A conventional siege was useless against such a seemingly impregnable rock, however, and with so much food and water the Zealots could not be starved into submission.","Eventually, the besieging soldiers had to give up and go home.",travel,neutral,entailment,entailment,116.0,4.0,120.0,0.0
52,P1_zero_shot,llama_3.3_70b,matched,i've even heard of some people being sexually abused,Some people are sexually abused.,telephone,entailment,entailment,entailment,84.0,4.0,88.0,0.0
53,P1_zero_shot,llama_3.3_70b,matched,Duke William returned from his conquest of England to attend the consecration of Notre-Dame in 1067.,Duke William failed to attend the consecration of Notre-Dame.,travel,contradiction,contradiction,Contradiction.,102.0,5.0,107.0,0.0
54,P1_zero_shot,llama_3.3_70b,matched,Diets for men in their prime,A plan to keep men fat.,fiction,contradiction,contradiction,Contradiction.,82.0,5.0,87.0,0.0
55,P1_zero_shot,llama_3.3_70b,matched,so you know it's something we we have tried to help but yeah,We did what we could to help.,telephone,entailment,entailment,Entailment,90.0,4.0,94.0,0.0
56,P1_zero_shot,llama_3.3_70b,matched,"Be of good cheer,","Be of good cheer, for beer time is near.",slate,neutral,entailment,Entailment,83.0,4.0,87.0,0.0
57,P1_zero_shot,llama_3.3_70b,matched,well what is it,Don't tell me about it.,telephone,contradiction,contradiction,contradiction,79.0,4.0,83.0,0.0
58,P1_zero_shot,llama_3.3_70b,matched,"Indeed, said San'doro.","Indeed, they said.",fiction,entailment,neutral,Neutral.,79.0,3.0,82.0,0.0
59,P1_zero_shot,llama_3.3_70b,matched,and so i have really enjoyed that but but there are i do have friends that watch programs like they want to see a particular program and they are either home watching it or definitely recording it they have some programs that they won't miss,What programs do your friends like to watch?,telephone,neutral,entailment,entailment,123.0,4.0,127.0,0.0
60,P1_zero_shot,llama_3.3_70b,matched,"Prior to 1986, the United States had been a net creditor because its holdings of foreign assets exceeded foreign holdings of U.S. assets.","For many, this was considered the best position the US had ever been in financially.",government,neutral,neutral,Neutral.,113.0,3.0,116.0,0.0
61,P1_zero_shot,llama_3.3_70b,matched,they take the football serious,Football is important to them.,telephone,entailment,entailment,Entailment,79.0,4.0,83.0,0.0
62,P1_zero_shot,llama_3.3_70b,matched,"The book is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with equal pomposity.",The book has quotes from various people including Lincoln and Jefferson.,slate,entailment,entailment,Entailment,108.0,4.0,112.0,0.0
63,P1_zero_shot,llama_3.3_70b,matched,"Part of the reason for the difference in pieces per possible delivery may be due to the fact that five percent of possible residential deliveries are businesses, and it is thought, but not known, that a lesser percentage of possible deliveries on rural routes are businesses.","We all know that the reason for a lesser percentage of possible deliveries on rural routes being businesses, is because of the fact that people prefer living in cities rather than rural areas.",government,neutral,contradiction,contradiction,152.0,4.0,156.0,0.0
64,P1_zero_shot,llama_3.3_70b,matched,"Most recently, GAO reviewed activities of the White House China Trade Relations Working Group, which was established at the request of President Clinton in the exercise of his Constitutional powers.",President Clinton wasn't exercising his Constitutional powers when he made the request.,government,contradiction,contradiction,contradiction,115.0,4.0,119.0,0.0
65,P1_zero_shot,llama_3.3_70b,matched,CHAPTER 6: HUMAN CAPITAL,Human capital includes the workforce.,government,neutral,entailment,Entailment,81.0,4.0,85.0,0.0
66,P1_zero_shot,llama_3.3_70b,matched,"It is the official solution, Liq. ",This is officially the solution.,fiction,entailment,entailment,Entailment,83.0,4.0,87.0,0.0
67,P1_zero_shot,llama_3.3_70b,matched,"This is an excerpt from the voice-over credo read in the opening credits for the new UPN series Star  Pitiful Helpless Giant , starring former Secretary of State George Shultz.",Star Pitiful Helpless Giant is a show on UPN about politics.,slate,neutral,entailment,entailment,120.0,4.0,124.0,0.0
68,P1_zero_shot,llama_3.3_70b,matched,"Also, I will be assuming that the 6.0a cost of the Postal Service to take the mail from basic to workshared condition is constant as limited quantities of mail move back and forth between basic and workshared.",I will make no assumptions about the costs to the postal service.,government,contradiction,contradiction,contradiction,125.0,4.0,129.0,0.0
69,P1_zero_shot,llama_3.3_70b,matched,You'll find galleries in all the major towns and in some of the smaller villages.,The major towns have banned the existence of galleries.,travel,contradiction,contradiction,contradiction,94.0,4.0,98.0,0.0
70,P1_zero_shot,llama_3.3_70b,matched,"Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.",Changes were made to the Grant Renewal Application to provide extra information to the LSC.,government,entailment,entailment,Entailment,112.0,4.0,116.0,0.0
71,P1_zero_shot,llama_3.3_70b,matched,um-hum what is your worst then,Then what is your worst?,telephone,entailment,entailment,entailment,82.0,4.0,86.0,0.0
72,P1_zero_shot,llama_3.3_70b,matched,Slate 's Joseph Nocera.,Nocera works for Slate.,slate,entailment,entailment,Entailment,82.0,4.0,86.0,0.0
73,P1_zero_shot,llama_3.3_70b,matched,That's an opportunity that very few people have had.,Pretty much everyone has that opportunity. ,government,contradiction,contradiction,Contradiction.,86.0,5.0,91.0,0.0
74,P1_zero_shot,llama_3.3_70b,matched,Cybernetics had always been Derry's passion.,Derry had a passion for cybernetics.,fiction,entailment,entailment,entailment,88.0,4.0,92.0,0.0
75,P1_zero_shot,llama_3.3_70b,matched,"Consistent with GAO's Congressional Protocols, GAO will then offer the requester(s) a draft of the product that is with the agency for comment.",The agency received a draft of the product from the GAO.,government,entailment,entailment,entailment,112.0,4.0,116.0,0.0
76,P1_zero_shot,llama_3.3_70b,matched,"Merrion Square West, Dublin 2.","Merrion Square East, Dublin 2.",travel,contradiction,neutral,Neutral.,85.0,3.0,88.0,0.0
77,P1_zero_shot,llama_3.3_70b,matched,that's neat just supervised more or less than anything and security i guess for them,They just supervise people.,telephone,entailment,entailment,entailment,89.0,4.0,93.0,0.0
78,P1_zero_shot,llama_3.3_70b,matched,"Although this award will now be handed out annually, Bailey was selected for several years of his commitment.","Bailey may have won several times, but it was a humbling experience each time the award was given to him.",government,neutral,entailment,entailment,110.0,4.0,114.0,0.0
79,P1_zero_shot,llama_3.3_70b,matched,um yeah that sounds kind of neat uh is location at all important to you like you know how far it is from your house or whatever,Location doesn't matter to some people but it may matter to you I don't know. ,telephone,neutral,neutral,Neutral.,114.0,3.0,117.0,0.0
80,P1_zero_shot,llama_3.3_70b,matched,"A chancy road winding up to the 475-metre (1,560-foot) summit is likely to test the engine and suspension of your car, as well as your own persistence.",It is a short and easy trip to get to the summit.,travel,contradiction,contradiction,contradiction,118.0,4.0,122.0,0.0
81,P1_zero_shot,llama_3.3_70b,matched,"This tourist heartland is also home to 100,000 Jamaicans who live in the hills surrounding the town.",Beautiful white beaches are the reason this town is so popular with tourists.,travel,neutral,neutral,Neutral.,104.0,3.0,107.0,0.0
82,P1_zero_shot,llama_3.3_70b,matched,because we don't always read the newspaper sometimes it just sits around for a while and then we just chuck it,Sometimes we throw the newspaper away without reading it.,telephone,entailment,entailment,Entailment,100.0,4.0,104.0,0.0
83,P1_zero_shot,llama_3.3_70b,matched,"In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism.","For almost a decade, the main Republican theme was some form of populism.",slate,entailment,entailment,Entailment,117.0,4.0,121.0,0.0
84,P1_zero_shot,llama_3.3_70b,matched,but how do you know  the good from the bad,Why care if it's good or bad?,telephone,contradiction,contradiction,Contradiction.,88.0,5.0,93.0,0.0
85,P1_zero_shot,llama_3.3_70b,matched,"A funny place for a piece of brown paper, I mused. ","I looked down at my desk, which was a mess, as usual, and had some white and brown papers on it.",fiction,neutral,neutral,Neutral.,107.0,3.0,110.0,0.0
86,P1_zero_shot,llama_3.3_70b,matched,"Up here, gazing out at strikingly lush mountains, you may find yourself higher than the clouds, which adds to the extraordinarily eerie atmosphere of the place.","Down here, you can see the gold mines from the old explorers, you are way lower than the sea level, so be careful.",travel,contradiction,neutral,Neutral.,127.0,3.0,130.0,0.0
87,P1_zero_shot,llama_3.3_70b,matched,"approaches for setting different requirements for sources that pose different levels of hazard (tiering); worst-case releases and other hazard assessment issues; accident information reporting; public participation; inherently safer approaches; and implementation and integration of section 112(r) with state programs, particularly state air permitting programs.",There are no hazards and therefore aren't any different requirements.,government,contradiction,contradiction,Contradiction.,136.0,5.0,141.0,0.0
88,P1_zero_shot,llama_3.3_70b,matched,The census of 1931 served as an alarm signal for the Malay national consciousness.,The 1931 Malay census was an alarm bell.,travel,entailment,entailment,Entailment,95.0,4.0,99.0,0.0
89,P1_zero_shot,llama_3.3_70b,matched,"The NYT , in its front-page coverage, says the plane was flying far lower than the rules for training missions allow.","According to the NYT, training missions did not allow planes to fly that low. ",slate,entailment,entailment,Entailment,108.0,4.0,112.0,0.0
90,P1_zero_shot,llama_3.3_70b,matched,Five minutes later she smiled contentedly at her reflection in the glass.,She was looking at her reflection in the rearview mirror of her car.,fiction,neutral,entailment,entailment,96.0,4.0,100.0,0.0
91,P1_zero_shot,llama_3.3_70b,matched,"To address these concerns, we supplement our Base Estimate of benefits with a series of sensitivity calculations that make use of other sources of concentration-response and valuation data for key benefits categories.",Some scenarios allow for supplemental data to be used in lieu of primary data.,government,entailment,entailment,entailment,117.0,4.0,121.0,0.0
92,P1_zero_shot,llama_3.3_70b,matched,right yeah that's it's always handy to have that that credit card for whatever it is that you might need it for,It is not necessary to have a credit card.,telephone,contradiction,contradiction,contradiction,102.0,4.0,106.0,0.0
93,P1_zero_shot,llama_3.3_70b,matched,"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",There are no palaces in Honolulu that can be toured.,travel,contradiction,contradiction,contradiction,101.0,4.0,105.0,0.0
94,P1_zero_shot,llama_3.3_70b,matched,I knew him and liked and respected him.,I never knew the man.,slate,contradiction,contradiction,contradiction,82.0,4.0,86.0,0.0
95,P1_zero_shot,llama_3.3_70b,matched,The Star reports that actress Jodie Foster is pregnant through artificial insemination.,It has been reported by The Star that Jodie Foster is pregnant with twins through artificial insemination.,slate,neutral,entailment,entailment,102.0,4.0,106.0,0.0
96,P1_zero_shot,llama_3.3_70b,matched,Why bother to sacrifice your lives for dirt farmers and slavers?,People sacrifice their lives for farmers and slaves.,fiction,neutral,contradiction,contradiction,89.0,4.0,93.0,0.0
97,P1_zero_shot,llama_3.3_70b,matched,"The street ends at Taksim Square (Taksim Meydane), the heart of modern Istanbul, lined with luxurious five-star hotels and the glass-fronted Ataturk Cultural Centre (Ataturk Keleter Sarayy), also called the Opera House.",There are only residential houses on the street.,travel,contradiction,contradiction,contradiction,131.0,4.0,135.0,0.0
98,P1_zero_shot,llama_3.3_70b,matched,um-hum yeah i saw that for the first time yesterday in the evening,I have seen that many times before.,telephone,contradiction,contradiction,contradiction,91.0,4.0,95.0,0.0
99,P1_zero_shot,llama_3.3_70b,matched,yeah well the jury that originally sentenced him sentenced him to death,The sentence later got revised under review of a judge.,telephone,neutral,neutral,Neutral.,91.0,3.0,94.0,0.0
100,P1_zero_shot,llama_3.3_70b,matched,I hope that all key parties will take the necessary steps to address any real and perceived problems that serve to undercut public trust and confidence.,I hope that no key parties take steps to address problems.,government,contradiction,contradiction,Contradiction.,106.0,5.0,111.0,0.0
101,P1_zero_shot,llama_3.3_70b,matched,Programs in Michigan and the District of Columbia received one-year grant terms for 2002.,Programs in Michigan receive no grants at all. ,government,contradiction,contradiction,contradiction,95.0,4.0,99.0,0.0
102,P1_zero_shot,llama_3.3_70b,matched,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities had a railway between them that made travel easy.,travel,contradiction,contradiction,contradiction,97.0,4.0,101.0,0.0
103,P1_zero_shot,llama_3.3_70b,matched,I smiled vaguely.,I moved my face.,fiction,entailment,entailment,Entailment.,76.0,5.0,81.0,0.0
104,P1_zero_shot,llama_3.3_70b,matched,"Despite a recent renovation, the Meadows Mall is the least appealing of the three suburban malls.",The Meadows Mall is very popular and beautiful.,travel,contradiction,contradiction,contradiction,94.0,4.0,98.0,0.0
105,P1_zero_shot,llama_3.3_70b,matched,and then you can add cocoa powder to it to make chocolate or after it's thickened i cook it for a good once it starts boiling i just i cook it for a good seven minutes,I never bring it to a boil when I make cocoa.,telephone,contradiction,contradiction,contradiction,118.0,4.0,122.0,0.0
106,P1_zero_shot,llama_3.3_70b,matched,"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Scientists gave animals irradiated chicken and they all died quickly.,slate,contradiction,contradiction,contradiction,106.0,4.0,110.0,0.0
107,P1_zero_shot,llama_3.3_70b,matched,But a list of who's better than other people in some aspect or another is not inevitable and does not make the economy any more prosperous or society any richer in other ways.,A listing of those better than others is very helpful to the economy.,slate,contradiction,contradiction,Contradiction.,116.0,5.0,121.0,0.0
108,P1_zero_shot,llama_3.3_70b,matched,uh-huh you can't do that in a skirt  poor thing,You need to wear something else.,telephone,entailment,entailment,Entailment,89.0,4.0,93.0,0.0
109,P1_zero_shot,llama_3.3_70b,matched,"First, the Comptroller General sends a written request to the agency head for the record that has not been made available to GAO within a reasonable time after an initial request.",They are given a proper amount of time to do the report.,government,entailment,entailment,entailment,116.0,4.0,120.0,0.0
110,P1_zero_shot,llama_3.3_70b,matched,Agricultural shows,Farm performances,travel,entailment,entailment,entailment,73.0,4.0,77.0,0.0
111,P1_zero_shot,llama_3.3_70b,matched,Can you point me to housewares?,"Please point me in the direction of the pet supplies, I asked.",slate,contradiction,contradiction,Contradiction.,89.0,5.0,94.0,0.0
112,P1_zero_shot,llama_3.3_70b,matched,Intifada to the Present,The extending from the Palestinian uprising until today.,travel,entailment,entailment,Entailment,83.0,4.0,87.0,0.0
113,P1_zero_shot,llama_3.3_70b,matched,"THEY ARE READY, returned Susan's voice in the back of his mind.",He cringed when he imagined Susan's voice.,fiction,neutral,entailment,entailment,92.0,4.0,96.0,0.0
114,P1_zero_shot,llama_3.3_70b,matched,yeah well i was surprised at the the way they drafted last year they didn't really didn't go for the uh big offensive lineman or the defensive lineman they're going for the skilled positions so quarterbacks they really,I thought they should focus more on big linemen.,telephone,neutral,contradiction,contradiction,120.0,4.0,124.0,0.0
115,P1_zero_shot,llama_3.3_70b,matched,"Small boats tie up here with batches of crayfish, fresh fish, and eel, and housewives clamor for the fishermen to weigh their choices on rudimentary scales.",They fisherman caught 500 pounds of fish today. ,travel,neutral,neutral,Neutral.,114.0,3.0,117.0,0.0
116,P1_zero_shot,llama_3.3_70b,matched,They post loads of newspaper articles--Yahoo!,Yahoo contains articles from newspaper publications.,slate,entailment,entailment,Entailment,83.0,4.0,87.0,0.0
117,P1_zero_shot,llama_3.3_70b,matched,oh i enjoyed it i mean it was just more for my money,The performance was a good deal.,telephone,neutral,entailment,entailment,88.0,4.0,92.0,0.0
118,P1_zero_shot,llama_3.3_70b,matched,"External Validity The extent to which a finding applies (or can be generalized) to persons, objects, settings, or times other than those that were the subject of study.",The degree to which conclusions can be applied to objects and persons who weren't subjects in the initial study subject is called External Validity.,government,entailment,entailment,Entailment,129.0,4.0,133.0,0.0
119,P1_zero_shot,llama_3.3_70b,matched,"'Wait here,' I was ordered.",He told me to wait.,fiction,entailment,entailment,Entailment,81.0,4.0,85.0,0.0
120,P1_zero_shot,llama_3.3_70b,matched,"It's easy to overdose on the many temples, palaces, and museums in India.",Many temples and palaces are free to visit in the country.,travel,neutral,neutral,Neutral.,98.0,3.0,101.0,0.0
121,P1_zero_shot,llama_3.3_70b,matched,"Nearby is the Monastery of Nea Moni, founded in 1049, and one of the most beautiful Byzantine religious sites in the Aegean.","Founded in 1049, the monastery was a beacon of light in the darkness.",travel,neutral,entailment,entailment,117.0,4.0,121.0,0.0
122,P1_zero_shot,llama_3.3_70b,matched,excessively violent i was worried it's like golly if kids start imitating that,"It was non-violent, so it would be great for the kids to follow their lead.",telephone,contradiction,contradiction,contradiction,103.0,4.0,107.0,0.0
123,P1_zero_shot,llama_3.3_70b,matched,Our review indicates that the Food and Drug Administration complied with the applicable requirements.,The Food and Drug Administration has strict requirements.,government,neutral,neutral,Neutral.,91.0,3.0,94.0,0.0
124,P1_zero_shot,llama_3.3_70b,matched,yeah it's definitely a way out of the way where  where as,I was able to find my way out of the corn maze,telephone,neutral,entailment,entailment,95.0,4.0,99.0,0.0
125,P1_zero_shot,llama_3.3_70b,matched,"Traffic, also, has been controlled, and if you're staying here you might want to consider getting around by bicycle; there's no better way to explore an island that measures no more than 20 km (121.2 miles) from end to end, one-fifth the size of Ibiza.",It is quicker to cross the island by bike than by car.,travel,neutral,entailment,entailment,141.0,4.0,145.0,0.0
